sale.amount	sale.date	occupancy	style	built	bedrooms	bsmt	ac	attic	area.base	area.add	area.bsmt	area.garage1	area.garage2	area.living	area.lot	lon	lat	assessed
172500	1/3/2005	116 (Zero Lot Line)	1 Story Frame	1993	3	Full	Yes	None	1102	0	925	418	0	1102	5520	-91.509129	41.65116	173040
90000	1/5/2005	113 (Condominium)	1 Story Frame	2001	2	None	Yes	None	878	0	0	0	264	878	3718	-91.522964	41.67324	89470
168500	1/12/2005	101 (Single-Family / Owner Occupied)	Split Foyer Frame	1976	4	Full	Yes	None	1236	0	700	576	0	1236	8800	-91.482311	41.658488	164230
205000	1/14/2005	101 (Single-Family / Owner Occupied)	Split Foyer Frame	1995	3	Full	Yes	None	1466	0	500	0	0	1466	16720	-91.552236	41.648996	211890
121000	1/24/2005	113 (Condominium)	1 Story Condo	2001	2	None	Yes	None	1150	0	0	0	528	1150	3427	-91.578144	41.65263	115430
215000	1/28/2005	101 (Single-Family / Owner Occupied)	2 Story Frame	1974	5	Full	Yes	None	936	376	900	572	0	2248	10455	-91.5785	41.65276	236880
278000	2/1/2005	101 (Single-Family / Owner Occupied)	2 Story Frame	1991	4	Full	Yes	None	936	384	1250	528	0	2376	13680	-91.552396	41.650088	293240
170000	2/4/2005	101 (Single-Family / Owner Occupied)	Split Foyer Frame	1977	3	Full	Yes	None	1220	0	500	0	0	1220	7205	-91.552503	41.664146	166710
290000	2/10/2005	101 (Single-Family / Owner Occupied)	2 Story Frame	1920	4	Full	Yes	None	985	356	0	0	0	2326	9800	-91.552118	41.648962	290020
185000	2/11/2005	101 (Single-Family / Owner Occupied)	2 Story Frame	1993	3	Full	Yes	None	914	0	0	440	0	1828	8960	-91.552396	41.650088	184440
109900	2/14/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1955	2	Full	Yes	None	864	0	200	240	0	864	8375	-91.481715	41.659441	108020
149900	2/18/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1983	5	Full	Yes	None	1151	0	750	504	0	1151	8008	-91.578132	41.655087	165190
130000	2/24/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1970	4	Full	Yes	None	1120	0	1000	392	0	1120	11952	-91.490858	41.62897	161480
550000	2/25/2005	101 (Single-Family / Owner Occupied)	2 Story Frame	2000	3	Full	Yes	None	661	2261	320	720	0	3961	51401	-91.491005	41.629658	679540
650000	2/28/2005	101 (Single-Family / Owner Occupied)	1 Story Brick	1994	4	Full	Yes	None	3440	0	2150	820	0	3440	44431	-91.519803	41.645867	659310
162500	3/2/2005	101 (Single-Family / Owner Occupied)	Split Foyer Frame	1999	3	Full	Yes	None	1047	0	525	0	0	1047	5640	-91.490949	41.63025	163200
225000	3/7/2005	101 (Single-Family / Owner Occupied)	2 Story Frame	1910	4	Full	Yes	None	832	396	0	0	0	2060	4400	-91.574712	41.649548	230490
134000	3/8/2005	113 (Condominium)	2 Story Condo	2002	3	None	Yes	None	588	90	0	462	0	1560	3427	-91.506152	41.657745	141190
